id,name,city,lon,lat,date,PM2.5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1340A,伍家岭,长沙,112.9792,28.2597,20180531,30.5,4059.0,6325.0,1646434.86022051,-55134.31895207711,30,0.13996277749538422,268.9485778808594,297.1630859375,100268.46875,0.003664528951048851,281.060546875,-2.33040645980509e-05,79.39613342285156,-0.1399390995502472,0.0025746983010321856,0.6497832536697388,3188
1341A,火车新站,长沙,113.0014,28.1944,20180531,34.44827586206897,4069.0,6328.0,1649849.6950502428,-62343.35904366493,48,0.1352378875017166,281.0673522949219,297.1697082519531,100211.84375,0.0036260399501770735,279.1173400878906,-2.3130020053940825e-05,79.29590606689453,-0.1327241063117981,-0.02595372125506401,0.6427589058876038,3493
1342A,天心区环保局,长沙,112.9844,28.1178,20180531,28.41379310344828,4081.0,6325.0,1649954.816841983,-71519.67839529835,90,0.13098518550395966,292.6718444824219,297.1372375488281,100033.484375,0.0036228010430932045,279.8122863769531,-2.348447742406279e-05,79.30268096923828,-0.120866559445858,-0.050481606274843216,0.6421917676925659,2741
1343A,湖南中医药大学,长沙,112.8908,28.1308,20180531,30.403225806451612,4079.0,6311.0,1641185.1358563092,-71578.35934531335,45,0.1271180361509323,317.1662292480469,297.0449523925781,99994.015625,0.0038718003779649734,283.5605163574219,-2.419732481939718e-05,79.60942840576172,-0.08643078804016113,-0.0932132750749588,0.6579383611679077,2295
1344A,沙坪,长沙,112.9958,28.3586,20180531,29.193548387096772,4043.0,6327.0,1645810.517767697,-43370.10594440412,69,0.19177280366420746,244.01162719726562,297.06951904296875,100031.1328125,0.00350254331715405,288.4298400878906,-2.340144055779092e-05,79.45808410644531,-0.1723785549402237,0.08403836190700531,0.6477211713790894,3730
1345A,广雅中学,广州,113.235,23.1422,20180531,29.86666666666667,4877.0,6366.0,1779926.644344306,-638513.0766011232,10,2.0030837059020996,191.03770446777344,299.8459777832031,100868.59375,0.0036942216102033854,250.1873016357422,-2.5013849153765477e-05,80.94476318359375,-0.38348814845085144,1.9660316705703735,0.4797362983226776,2454
1346A,市五中,广州,113.261,23.105,20180531,26.466666666666665,4883.0,6370.0,1783229.3119852962,-642265.1455298301,12,2.045541524887085,190.56167602539062,299.8421936035156,100901.5546875,0.003855430753901601,255.34153747558594,-2.640899401740171e-05,81.19461822509766,-0.37492457032203674,2.0108883380889893,0.4813733398914337,1591
1348A,广东商学院,广州,113.348,23.0916,20180531,27.887096774193548,4885.0,6384.0,1791913.6739360788,-642203.4202702653,2,2.0216569900512695,189.9457550048828,299.7345886230469,100847.03125,0.004282504785805941,255.9729766845703,-2.791632323351223e-05,82.37329864501953,-0.34916216135025024,1.991276741027832,0.49732503294944763,2583
1349A,市八十六中,广州,113.433,23.105,20180531,26.18333333333333,4883.0,6397.0,1799828.9540193873,-639129.114440192,4,1.9698396921157837,189.6123809814453,299.6398010253906,100764.2890625,0.004483732860535383,252.02850341796875,-2.8317454052739777e-05,83.51004791259766,-0.3289180397987366,1.9421846866607666,0.5010852813720703,2757
1350A,番禺中学,广州,113.352,22.9477,20180531,25.35,4908.0,6384.0,1795385.0410857117,-658456.8606221963,5,2.125331163406372,189.02378845214844,299.8095703125,100978.3515625,0.004606001544743776,278.9209899902344,-3.269282024120912e-05,82.30802154541016,-0.3333369791507721,2.0990281105041504,0.4594842195510864,3299
1351A,花都师范,广州,113.215,23.3917,20180531,27.5,4837.0,6362.0,1772680.8072781703,-610527.513703738,8,1.5277453660964966,196.45396423339844,299.65826416015625,100758.9609375,0.003290258115157485,218.96377563476562,-1.7527152522234246e-05,81.1982650756836,-0.43271374702453613,1.465184211730957,0.5107846260070801,2174
1352A,市监测站,广州,113.26,23.1331,20180531,27.05,4879.0,6370.0,1782533.0172905403,-639093.1125376975,18,2.0129599571228027,190.79798889160156,299.8143615722656,100849.0234375,0.003823830047622323,251.48863220214844,-2.5559304049238563e-05,81.22290802001953,-0.377111554145813,1.9773201942443848,0.5188852548599243,3580
1353A,九龙镇镇龙,广州,113.568,23.2783,20180531,27.225806451612907,4856.0,6419.0,1809092.018460161,-616977.6771734342,31,1.6361641883850098,192.59288024902344,299.12335205078125,99900.6328125,0.004118342883884907,207.69314575195312,-1.946757038240321e-05,84.49424743652344,-0.35670894384384155,1.5968067646026611,0.4909398555755615,3320
